file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,96,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,4
style.css,97,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,12
style.css,98,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,77
style.css,99,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,55
style.css,100,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,79
style.css,101,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,102,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,103,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,10
style.css,104,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,15
style.css,105,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,60
style.css,106,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,15
style.css,107,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,108,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,109,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,9
style.css,110,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,13
style.css,111,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,12
style.css,112,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,44
